,questions,documents,answers,explanations
158,Does taking hyaluronic acid in capsule form improve the symptoms of knee osteoarthritis?,"So we don't know if taking hyaluronic acid capsules can relieve the discomfort of knee arthrosis. These differences make it difficult to make general statements about oral hyaluronic acid. Contradictory results The results are also contradictory: one study [1] could not detect any difference between hyaluronic acid and a dummy drug, another [2] only in a few aspects examined.",unknown,"The question was examined in three small studies with various shortcomings. They come to contradictory results. Therefore, we cannot say for sure whether hyaluronic acid for oral use has a beneficial effect on the symptoms of knee osteoarthritis. We are also unable to make any reliable statements about possible risks on the basis of the best available studies."
159,"Does taking chlorella provide better performance, more resilience and does it promote health?","Unfortunately, the study with only 27 participants is very small, and important information is missing in order to be able to derive statements about possible positive effects. All in all, we cannot say whether the intake of chlorella has any tangible benefit for healthy adults. Unfortunately, we cannot deduce from the reported results whether there was a clear difference between the chlorella and placebo groups in exhaustion at the end of the study. Therefore, no reliable findings can be derived from this.",unknown,"We have found only one very small study on this topic with completely unclear results. From this, we cannot derive any statements on the benefits and risks of dietary supplements from chlorella algae."
160,Does going to the sauna several times a week prolong men's lives?,"We have found two meaningful research papers [1,2]: One of them indicates a life-prolonging effect in men [1]. The more frequent the sauna visits, the less likely the participants were to die 21 years later. The more often the participants were in the sauna, the less likely they had died 21 years later.",yes,"Men who go to the sauna several times a week live longer than those who go only once a week. However, it is possible that this is not due to the sauna at all. For women, the effect of sauna visits has not been sufficiently researched."
161,Does going to the sauna several times a week prolong women's lives???,"In a second study [2] 867 Finnish women participated over a period of 15 years. The study data cannot prove, but cannot exclude, a connection with a reduced risk of death. On the basis of the data, it is not possible to confirm or exclude whether more frequent visits to saunas to the participating women are associated with a reduced probability of death.",unknown,"Men who go to the sauna several times a week live longer than those who go only once a week. However, it is possible that this is not due to the sauna at all. For women, the effect of sauna visits has not been sufficiently researched."
162,Does the additional offer of HIV self-testing cause more people to take an HIV test?,"HIV self-tests are attractive Overall, the nine international studies conclude that the supply of HIV self-tests is likely to lead to more people passing an HIV test. Thus, an extended range of self-tests is likely to lead to more people taking an HIV test globally. Apparently, the supply of HIV self-tests leads to more tests, especially in those groups, which make little use of the already existing offer.",yes,"Current research provides very strong evidence that the addition of HIV self-testing leads to more people taking an HIV test. Among others, people for whom testing at health facilities by professionals is not acceptable for various reasons also make use of this offer."
163,"Can the combination of propolis, xyloglucan, gelatin and hibiscus (product ""Utipro Plus"") relieve the symptoms of cystitis or prevent cystitis?","We could not find any studies on the effect of xyloglucan, gelatin, hibiscus or propolis as a single agent against bladder inflammation. Whether pain and burning in the Utipro group have improved more than in the placebo group cannot be read out from the study – an analysis of the symptom progression would, in our view, be much more meaningful. No statements possible Two studies [1,2] have also investigated whether Utipro Plus can prevent further bladder inflammation.",unknown,"Three studies on the product ""Utipro Plus"" investigated the combination of these ingredients. However, statements on the efficacy cannot be made, as the studies have various shortcomings. We did not find any studies on the ingredients - used individually."
164,Does PEMF noticeably improve pain in osteoarthritis? Does the method improve mobility and quality of life in sufferers?,"Overall, the studies available do not convince us that the pulsating magnetic field therapy in osteoarthritis brings a clear benefit to the sufferers. There was no difference in the side effects between PEMF treatment and sham therapy. In view of the few available data, however, it is not possible to draw reliable conclusions on the safety of PEMF in osteoarthritis.",unknown,"Pain was investigated in eight small rather flawed studies. The studies arrived at widely divergent answers. In the studies with positive results, it is partly unclear whether the difference was actually noticeable for those affected. Quality of life and mobility were investigated in five and two studies, respectively - these were small and of little significance. In addition, the studies came to contradictory results."
165,Does oil pulling promote dental health?,"However, the investigations are too short, they have too many shortcomings and the results are too inaccurate to prove that. The effect of oil pulling on dental health remains unclear – at least as long as there are no meaningful studies that have been carried out according to strict scientific criteria. However, this does not prove that oil pulling prevents gum inflammation as well as antibacterial chlorhexidine. Otherwise, the studies are too inadequate to be meaningful. The real question remains unanswered: Can oil pulling better promote dental health in the long term than rinsing with a rinsing solution without an active ingredient?",unknown,"Studies conducted to date have been poorly done and are not conclusive. Thus, they cannot answer this question."
166,Can injecting stem cells into the knee joint relieve pain and limitations associated with osteoarthritis?,"Whether the therapy can appreciably relieve pain and movement restrictions in case of knee arthritis remains unclear [1]. Our conclusion: At the moment, the therapy with stem cells in the case of arthrosis in the knee is not matured. Because whether the stem cells arrived in the knee actually do what they should do and form new cartilage is also uncertain. Effect probably not noticeable The result: according to statistical analysis, the test subjects from the stem cell group had less pain on average.",unknown,It is unclear whether stem cells injected into the knee for osteoarthritis have a curative effect.  Possible side effects and dangers are also insufficiently researched.
167,Can an extract of Desmodium promote liver health or relieve other ailments?,"Whether desmodium improves the function of the liver or even heals liver damage, has apparently not been researched in meaningful studies. The studies in detail We could not find meaningful studies on Desmodium.",unknown,We found no conclusive studies on the efficacy of Desmodium - neither on liver health nor for any other application.
168,Does the balsam apple help against infection with the human immunodeficiency virus (HIV)?,"However, no reliable conclusions can be drawn from laboratory tests alone on the benefits and risks of treatment. No studies with humans We could not find studies with human subjects. Therefore, we cannot answer whether extracts from the balsam apple may be considered as treatment for HIV infection in the future.",unknown,"Laboratory experiments have tested how proteins from the fruits and seeds of the balsam apple Momordica behave against the human immunodeficiency virus (HIV). However, studies with humans are still lacking."
169,Does healing clay with the clay mineral smectite help when children have diarrhea?,"One day shorter For healing soil with the clay mineral smectite, there is evidence of at least minor efficacy. According to the best available studies, Smectit-Heilerde could shorten the duration of the diarrhea by around a day, i.e. The summarized results of the studies suggest that smectite shortens the duration of diarrhoea by about 24 hours.",yes,"Healing clay with smectite could shorten a diarrheal illness in children by about one day. For healing clay with kaolinite or loess, the effectiveness is unclear."
170,"Does a herbal combination preparation of rosemary, lovage, and centaury effectively relieve symptoms of uncomplicated cystitis?","Laboratory and animal tests indicate that ingredients of rosemary, lovage and millenium wort can relieve inflammation and cramps. The study teams concluded in the publications that the vegetable resource was effective for both purposes. From our point of view, there are cautious indications of a relieving effect in case of acute uncomplicated bladder inflammation [1] – but many questions remain open at the same time.",yes,
171,"Can a herbal combination preparation of rosemary, lovage and centaury prevent recurrent cystitis in women?",We do not consider a preventive effect to be sufficiently substantiated on the basis of the study available to us [2]. Not meaningful enough The study on the prevention of recurrent bladder inflammation [2] is very small with only 90 participants and has serious deficiencies.,unknown,
172,Can healing clay help with gastritis?,"Despite intensive research in several research databases, we could not find meaningful studies in which the effect of healing soil was investigated. Thus, there is no evidence that healing earth relieves problems with gastritis. The studies in detail We could not find meaningful studies on the effect of healing soil in gastritis.",unknown,We could not find a meaningful study that scientifically examined this question.
173,Does the Indian spice paste Chyawanprash have a positive effect on adult health?,"Even if the taking of Chyawanprash in India has a long tradition – we cannot give an assessment of these almost fairytale-sounding praises. Unfortunately, the few scientific studies on the effects of Chyawanprash do not allow any statements as to whether the mus can develop positive health effects. No standards, no proofs If Chyawanprash – for which there are many spellings – actually should have one or other long-term positive effect, a proof is likely to be difficult. Consequently, no clear statements about the concentration of potentially health-promoting active substances are possible [4,5].The studies in detail On the subject of Chyawanprash, scientific literature is quite poor. No statements possible The only study [1] that we were able to evaluate is from 2014.",unknown,There is a lack of conclusive studies on possible health effects of Chyawanprash. We can neither confirm nor deny a beneficial effect.
174,Does ginger work against breast cancer?,"However, it is questionable which ingredients in ginger are responsible for these effects and which processes they trigger in detail. Because we have not found a single study with human subjects on this question. We cannot, therefore, say whether ginger or not.",unknown,"So far, only isolated animal studies and experiments with cells indicate that ginger substances could favorably influence the behavior of breast cancer cells. Studies with breast cancer patients are lacking. Therefore, there are no data on the efficacy"
175,Can Theta Healing help with physical ailments and mental problems?,"However, we have found a study [1] that calls into question the alleged basic principle of the mental healing method. The research team was not able to detect an increase in the theta waves among any of the persons involved. In addition, the study did not check whether theta healing actually has a relieving or healing effect on symptoms.",unknown,"There are no studies that have directly examined the healing effects of Theta Healing. However, one experiment contradicts a basic assumption of the method: According to this, there is no evidence that increased theta brain waves occur in involved persons."
176,Does taking Bacopa extract improve memory performance?,"We have found no better memory by Bacopa a systematic overview [1], which has summarized nine studies with around 500 participants. The conclusion, however, comes to a disappointing conclusion: All in all, it could not be proven that the Bacopa extract actually effectively improves memory and/or attention. On the contrary, it seems that Bacopa should not have the desired effect. No clear evidence of benefit For the vast majority of tests, the systematic review of the individual studies did not reveal any clear effects of the Bacopa extract.",no,"The question was investigated in several mainly properly done studies with more than 500 people. Overall, no significant positive effects on memory and attention were found. Since some of the studies arrived at very different results and the estimates were far apart, this clearly limits the significance of the result."
177,"Do remedies containing the trifoliate fruit alleviate the symptoms of rheumatoid arthritis (""rheumatism"")?","They come to the conclusion that the intake of three-winged fruits could improve some rheumatism problems rather than a placebo. These are studies in which two randomly compiled groups either take three-winged fruit remedies or a sham medication. Overall, the results point cautiously in a positive direction. Possibly, the intake of three-winged fruit capsules improves the symptoms of rheumatism more than with placebo.",yes,"We have evaluated two small studies. They suggest that taking trifoliate relieves some rheumatism symptoms better than a placebo remedy. However, these results are not well established."
178,Does thyme strengthen memory or prevent mental decline?,"Whether thyme strengthens memory or prevents dementia is therefore unclear. Despite numerous studies, it has not yet been possible to identify individual measures or means that can demonstrate and significantly reduce the risk of dementia. The studies in detail We could not find any studies on the topic.",unknown,We have not been able to find any studies that have examined this question in the context of human studies.
179,"Does regular consumption of chia seeds reduce body weight, blood sugar levels or cholesterol?","Whether chia seeds can improve health or prevent diseases has been insufficiently researched. They also do not suggest efficacy on individual measurements: the regular consumption of chia seeds should not improve blood fats such as cholesterol and triglycerides, as well as blood glucose levels, even after more than five months. Chia seeds should also not have a weight-reducing effect. Thus, dietary supplements with omega-3 fats cannot reduce the risk of premature death due to heart attack, stroke or other diseases.",no,"Whether Chia seeds promote health has not been directly studied. The summarized results of previous studies at least indicate that Chia has no effect on body weight, blood sugar and cholesterol levels. The significance of this"
180,Do heat patches that heat themselves or heat pads help with pain in the neck?,Heat with question mark Whether heat can relieve the pain in the neck is not well researched. We cannot therefore say whether heat in the neck is effective for pain and tension.,unknown,Studies on the pain-relieving effect of heat pads and self-heating plasters are contradictory.
181,Do heat patches containing capsaicin help with neck pain???,The study team reported that people who wear a capsaicin-containing heat patch four weeks a day have just as much (or little) neck pain as people with a placebo patch without an active substance. Further studies with a larger number of participants must confirm whether heat patches with capsaicin are actually ineffective. This indicates that the patches with capsaicin do not have any special analgesic effect.,no,Studies on the pain-relieving effect of heat pads and self-heating plasters are contradictory.
182,Do heat patches help with lower back pain?,"This substance creates a feeling of warmth on the skin, but does not become warm itself. According to their results, it is likely that both types of heat patches can relieve pain in the lower back. Carrying self-warming patches for three days has on average improved the pain in the lower back by 18 points on the 100s scale [1]. In addition to movement exercises or painkillers, the heat patches are probably pain-relieving [1,3].",yes,"Heat patches produce heat by means of a chemical reaction. They can probably relieve low back pain somewhat in the short term. However, this has only been investigated for complaints that have persisted for a maximum of 3 months... Heat patches with chili extract (capsaicin)"
183,Does ginger help with period pain?,"In summary, the best studies currently available indicate that ginger could help [1,2]. In their analyses they came to the same conclusion: The summarized results of the three studies indicate cautiously that ginger capsules can reduce pain by an average of 1.5 points on a scale from 0 to 10 [1,2]. Nevertheless, ginger showed a low pain-relieving effect in all three. In two studies, ginger capsules seemed to have a similar effect to the painkiller mefenamic acid in the 250 mg dose [1].",yes,"Previous studies indicate that ginger can slightly relieve menstrual pain. However, due to deficiencies in their conduct, they are of limited value."
184,"Can the state of health be assessed as reliably with a ""cell check"" analysis as with other diagnostic tests (for example, blood or urine analyses)?","Despite extensive research in five research databases, however, we could not find a single study on the reliability of the cell check method. Thus, the cell check test does not allow ""to create a diagnosis or to make healing statements based on the determined values."" The studies in detail We could not find any studies on the reliability of the cell check method.",unknown,"There are no studies in which the reliability and significance of ""cell check"" results have been verified."
185,Can pain from osteoarthritis (joint wear) be relieved by arnica ointment or arnica gel?,"Lubricated joints with hooks We found indications of some effectiveness in the age-related joint wear (arthrosis) in the fingers – in a study [1] with 204 people affected. However, it cannot be derived from how small or large the analgesic effect of Arnika-Gel is for application.",yes,
186,Can pain from a sprained ankle be relieved by arnica ointment or arnica gel?,"No confidence in sprains We found a study [2] in which an arnica spray was compared with an active placebo spray to sprained ankles. However, we do not consider the study to be trustworthy, because it is rather inaccurate. In addition, important data are missing. We cannot, therefore, say whether Arnika helps in spraining the ankle. Arnika ineffective against sore muscles?",unknown,
187,Can sore muscles be relieved by arnica ointment or arnica gel?,"Arnika ineffective against sore muscles? There was no noticeable pain-relieving effect in any of them. Since the studies together only had 93 participants, this is not a meaningful result. We cannot therefore safely assume that arnica gels or ointments are really ineffective in case of muscle ache.",no,
188,Can carbon dioxide in mineral water and other sparkling drinks damage teeth or cause tooth decay?,"We were unable to find any studies in which dental health is associated with regular consumption of carbonated beverages. However, clear statements for ""real life"" cannot be derived from these laboratory experiments. The studies in detail During our research in three research databases, we did not find any meaningful studies.",unknown,"Whether the regular consumption of carbonated beverages (mineral water, sparkling soft drinks) damages the teeth more than non-carbonated beverages has not yet been researched."
189,"Does bark extract from maritime pine (also: ""pine bark extract"") improve the symptoms of osteoarthritis?","Unclear: Effect of pine bark extract However, no safe statements can be derived from the existing studies: Because the product with pine bark extract called pycnogenol was examined overall only with relatively few patients. Some of the studies come to contradictory results and have significant methodological shortcomings. Therefore, we cannot assess the importance of pycnogenol in the treatment of osteoarthritis compared to a dummy preparation. However, no statements on possible undesirable effects can be derived from the bark extract.",unknown,"The question was investigated in three smaller studies. However, due to severe methodological deficiencies and partly contradictory results, no firm conclusions can be drawn from them."
190,"Is brown millet effective in favorably influencing the course of the disease in rheumatism (""rheumatoid arthritis"")?","Not a single research project Although we did research in three scientific databases, we could not find a single study on this subject. No research group has yet carried out studies with rheumatoid patients on the effects of brown brains. On this basis, we cannot make any statements about a potential benefit in rheumatism.",unknown,"We could not find any studies on this topic; therefore, statements on the benefits and risks of brown millet in rheumatoid arthritis are not possible."
191,Are cannabis or substances derived from cannabis effective and safe anti-cancer agents?,"However, meaningful work on the anti-cancer effect of the cannabis plant or of individual artificial or natural cannabis substances such as tetrahydrocannabinol (THC) and cannabidiol (CBD) in humans is unlikely to have been published. It is therefore unclear whether cannabis has an anti-cancer effect. Even a small study [ 1 ] with nine incurable brain tumors did not shed light on the matter.",unknown,Reliable studies on this question are lacking.
192,It is not always possible to reduce elevated cholesterol levels to a healthy level with tablets and thus minimize the risk of heart attack or stroke. Does this succeed through additional injections with PCSK9 antibodies?,"Lower cholesterol What the antibodies can do is lower elevated LDL cholesterol. Accordingly, the antibodies reduce the LDL cholesterol level by almost 60 percent when they are injected in addition to common cholesterol nuclei such as statins or ezetimib [1,10,12]. However, lowering LDL cholesterol does not automatically lead to fewer heart attacks and strokes.",yes,"Up to now, this question has largely been investigated in people who not only have elevated cholesterol levels, but also already suffer from cardiovascular disease. Do these individuals receive additional cholesterol-lowering medications in addition to"
193,Do vaginal suppositories containing the active ingredient imiquimod cause precancerous stages of cervical cancer to recede or disappear?,"It suggests that the method should be effective in principle. After 16 weeks it turned out: With imiquimod, the pre-stages were formed in 73 percent of women in whole or in part.Without the active ingredient, the pre-stages were formed in 39 percent of women in whole or in part. This was similarly common in both groups: with imiquimod, the preliminary stages decreased to CIN 1 grade at 26 percent.Without imiquimod, the preliminary stages decreased to CIN 1 grade at 25 percent.Limited significance The small number of participants reduces the significance of the study.",yes,"In the only study on this subject, treatment was successful in some of those affected. Since the study is flawed and only a few women participated in it, the significance is limited."
194,Is blue light treatment as effective as UV light or other established therapies for psoriasis?,"For some time now, devices have been offered for the so-called ""blue light treatment"" against psoriasis. Extensive comparison missing After our research, we come to the conclusion: Unfortunately, we cannot assess whether the novel blue light therapy really helps people with psoriasis. Without such comparisons, it cannot be seriously estimated whether blue light therapy could play an important role in the treatment of psoriasis in the future. All in all, it is not possible to derive the significance of blue light therapy from the studies found compared to the treatment options available so far.",unknown,"We have not been able to find any publication comparing blue light with established treatments (e.g., UV irradiation)."
195,Does frequent consumption of potatoes increase the risk of dying from cancer?,"Thus, previous studies show no correlation between cancer mortality and potato consumption [1]. Also other causes of death – apart from cancer – did not occur heaped up when participants particularly often ate potatoes [1,2]. Life expectancy and cancer risk also depend on many other things, such as lifestyle, age or income.",no,The summarized results of studies to date do not show an increased risk of fatal cancers. They also do not indicate that potatoes reduce life expectancy overall.
196,Can cancer be detected by dark field analysis (dark field microscopy) of the blood?,"No cancer diagnosis possible We could not find any evidence for these claims – despite extensive search in several research databases. Although twelve of all participants had cancer, the medical practitioner was only right in three. Even if the small number of participants somewhat restricts the significance, the study shows: A cancer ""diagnosis"" with the help of dark field analysis is often wrong and would lead to great uncertainty among those affected.",no,
197,Can dark field analysis indicate other health problems?,"Hardly any studies Questionable is whether other health problems can be identified with the method. Because we could not discover further meaningful studies in which the dark field analysis was compared with recognized diagnostic methods. However, the extent to which the difference is compared to conventional laboratory tests cannot be reliably stated due to numerous problems in the execution of the study.",unknown,
198,Does kombucha have a positive effect on health?,"However, meaningful studies do not seem to have been carried out so far. Neither we nor two other research groups [1,2] could find studies that investigated the effects of Kombucha in humans. At present, therefore, it can neither be proven nor ruled out that Kombucha has a positive impact on health. Despite extensive search in three research databases, we could not find such studies.",unknown,"There are no studies that have conclusively investigated the effect of kombucha in humans. In addition, it is suspected that in rare cases home-made kombucha can lead to liver disease or dangerous hyperacidity of the blood."
199,Is graviola an effective and safe treatment for cancer?,"No evidence of anti-cancer effects We found that there is no serious evidence of such claims. Therefore, we cannot confirm whether or which substances from the Graviola tree could help with cancer. However, laboratory experiments, case reports or reports from folk medicine are by no means evidence that Graviola substances really work against cancer. The studies in detail Graviola has no meaningful studies in which people with a confirmed cancer diagnosis have participated.",unknown,Significant studies with healthy or diseased people are missing so far.
200,Does taking preparations with fenugreek extract improve sex life or satisfaction with it?,"We have not been able to find meaningful studies of the preparation (extract from fenugreek seeds, iron, zinc and vitamin B6) from the reader's request. The benefits or good compatibility of products with extracts of fenugreek seeds cannot therefore be proven with the studies available so far.",unknown,We conclude that no robust conclusions can be drawn from the best available studies to date. We found only two smaller studies with serious methodological flaws. The calculated positive results are not very reliable.
201,Does disulfiram improve the effectiveness of chemotherapy for cancer?,"Practically poorly proven Whether disulfiram actually improves the efficacy or tolerability of chemotherapy, however, is currently unclear. In the second study [2] patients treated with disulfiram in addition to chemotherapy lived for almost three months longer. Whether disulfiram in combination with modern treatment methods would have similar effects is unclear at this stage.",unknown,The question has been investigated in only two older and small studies in people with advanced cancer. The studies have severe methodological flaws and come to contradictory results.
202,Can binaural beats relieve stress or anxiety before surgery and medical treatments?,"The study team could not find differences between the groups in anxiety intensity. In a well done study, we could now assume that binaural beats have no special effect. But the significance of the study is low, and we cannot reliably draw this conclusion.",unknown,"Previous studies are not conclusive. Moreover, their results contradict each other."
203,Is a vegan diet healthier than a vegetarian diet?,"In these studies, both vegan and vegetarian living people were less likely to suffer from cancer. However, whether this also applies to vegan living people is not sufficiently investigated [1]. Without this, it cannot be reliably determined whether vegan is ""the healthier vegetarian."" However, positive health effects beyond those of a vegetarian diet have not been established. For a concrete statement, however, there is no direct comparison between vegan and vegetarian diets.",unknown,There is no evidence that veganism has advantages or disadvantages for health. Both a vegetarian and a vegan diet seem to slightly reduce the risk of cancer compared to mixed diets.
204,Can taking chlorophyll change mouth or body odor?,"There are no meaningful studies of chlorophyll as an antidote to body odor. So the alleged anti-mief effect of chlorophyll has not been seriously researched to this day. Even today, there is no conclusive explanation why chlorophyll should neutralize odors.",unknown,
205,Can taking chlorophyll affect the odor of urine in catheter wearers or stool in people with an artificial bowel outlet?,"According to the nurses, all participants had unpleasant smells of urine. No desired smell In no study was the odour assessment with chlorophyll tablets better than with placebo tablets. However, the small number of participants and weaknesses in the execution of the study limit the significance of the results – therefore it is unlikely that chlorophyll tablets will influence the smell of urine and stools in individuals with urinary catheter or artificial intestinal output in a desired way.",no,
206,Is the risk of bacterial or fungal infection comparable when using menstrual cups or pads?,"The analysis of the solid study with 766 schoolgirls from Westkenia aged 14 to 16 showed that – if certain hygienic standards such as hand washing and keeping the cup clean are adhered to – there are apparently no serious health disadvantages due to infections. Vaginal infections caused by bacteria or fungi did not occur more frequently during the study with a menstrual cup than with conventional disposable binds or even temporary substance deposits. However, there is no evidence that this occurs more frequently with a cup than with tampons or bindings [1]. Cups, tampons and bindings should therefore be more equivalent in terms of leak safety.",yes,Our statement is based on a solid single study. Further studies may provide even more clarity in the future.
207,"Laboratory experiments indicate that leoligin and other substances from edelweiss have a medicinal effect. However, this has not been researched in humans.","However, the results cannot simply be transferred to the human body. Not only the effectiveness of the Edelweiss ingredients is unexplained. The studies in detail Despite intensive search in two research databases, we could not find meaningful studies – i.e.",unknown,"To date, no research has been conducted to determine whether compounds from edelweiss are effective and safe in humans."
208,Can a straight bar improve harmless tension and pain in the neck and back?,"Not checked Unfortunately, despite extensive search we could not find any studies on this. It is therefore unclear whether straight holders can correct the posture and thus relieve pain or tension. In case of neck pain, for which no clear cause can be found, the effectiveness of movement is less well protected.",unknown,"To date, there have been no studies on the efficacy of straight-arm restraints when the pain was not due to serious illness or injury."
209,Are ultrasound examinations during pregnancy safe for the health of the child?,"The result of our research has tended to be calming: Previous studies indicate that ultrasound should not affect the health of the unborn in routine examinations [1-3]. Also for this particular form of ultrasound studies give no indication of harmfulness [1,4,5].The studies in detail In order to investigate possible negative effects of ultrasound examinations, randomized-controlled studies with a large number of female participants are best suited. The summarized results of 16 randomized-controlled studies with around 50,000 pregnant women indicated that ultrasound does not harm the unborn. Restricted expressiveness All in all, based on all the results, we assume that ultrasound examinations should not have any negative consequences in the short or long term.",yes,"In previous studies, routine ultrasound examinations have shown no adverse effects. There were no differences in size, weight, birth complications or malformations in the neonatal period. Later, there were no differences between more frequently or less frequently ""sonicated"" children with respect to development or skills such as reading, speech, arithmetic, vision, or hearing. However, deficiencies in the study conduct limit the validity of these results quite severely."
210,Can oregano oil relieve discomfort or disease?,"We could only include one study in our evaluation, but it is not meaningful. Therefore, we do not know whether oregano oil can relieve or cure any discomfort and disease in humans. We can therefore neither deny nor affirm the question of the health effects of oregano oil. So whether oregano oil promotes health is unexplained.",unknown,"So far, there are no conclusive studies that have investigated the health-promoting effects of oregano oil. We do not know, for example, whether it helps against infections."
211,Are Bach flower remedies effective in helping with test anxiety?,"We did not find many studies in particular, but we were able to include the three best available works with a total of 272 participants in our evaluation: In summary [ 1 ] these works [ 2,3,4 ] indicate that Bach flowers do not help against examination anxiety, at least not better than a placebo agent. According to this, Bach flowers should not help against exam anxiety, at least not better than a placebo drug. In all three studies [ 2,3,4 ], there were no significant differences between the Bach Blossom group and the placebo group at the end of the study. In the case of well-made studies, one could reasonably reliably conclude that Bach flower remedies do not work against examination anxiety. However, since two of the three studies have grosser shortcomings, the overall result is uncertain.",no,Three small studies indicate that remedies with Bach flowers against test anxiety do not help better than a placebo.
212,Can capsules with diamine oxidase alleviate or prevent symptoms of histamine intolerance?,Whether capsules with diamine oxidase can help with histamine intolerance is therefore neither proven nor excluded. Difficult diagnosis Not only is it unclear whether the intake of diamine oxidase is effective.,unknown,We found only one small study with insufficient power.
213,Does magnesium help with period pain?,"Whether the intake of magnesium can relieve regular pain can therefore neither be seriously affirmed nor denied from our point of view. The effect of magnesium alone has not been studied. Without this information, we cannot assess how well the magnesium might have helped. However, the results are not meaningful.",unknown,"To date, there have been no meaningful studies examining this."
214,"Does cannabis improve symptoms of Parkinson's disease, for example movement disorders?","Also in the other study [2] cannabis could not relieve various Parkinson's typical movement disorders, such as walking or getting up, better than the placebo agent. So whether cannabis is useful in Parkinson's is unexplained. Due to the low number of participants, it is not certain how well people can tolerate Parkinson's cannabis. Therefore, we need to look at the results with great caution. Thus, the significance of the investigations is quite limited.",unknown,"The question has been investigated in only two small studies of unclear methodological quality. While they do not suggest any positive effects on different movement disorders, one study gives evidence of a small improvement in quality of life."
215,Is the dietary supplement nattokinase effective and safe as a blood thinner?,"Unfortunately, our research has not revealed meaningful studies with risk persons who have taken nattokinase in the longer term. Therefore, we cannot say whether nattokinase works as a blood thinner in people at risk and the occurrence of severe cardiovascular disease (e.g. The studies in detail We could not find any meaningful studies with which the effect of nattokinase on blood dilution and the protective effect on cardiovascular diseases could be assessed.",unknown,"We could not find any conclusive studies on this issue. Therefore, it remains unclear whether nattokinase acts as a blood thinner and consequently prevents severe cardiovascular disease. Likewise, we do not know whether taking the enzyme is safe."
216,"Is the Feldenkrais Method effective against pain and tension in the neck, shoulders and back?","Therefore, we cannot confirm or exclude whether Feldenkrais is an effective method for pain. There is no scientific confirmation of the effectiveness of Feldenkrais so far. Whether strengthening exercise is effective in neck pain is not well studied. They were unable to answer our question about the effectiveness of the Feldenkrais method due to its low significance. However, due to the deficiencies and the small number of test subjects, it cannot be concluded that the combination of Feldenkrais and Virtual Reality program has a similar effect to movement exercises.",unknown,Studies conducted to date are too untrustworthy to answer this question.
217,Does an alkaline bath help with neurodermatitis?,"However, despite extensive research in several research databases, we could not find a single meaningful study. Whether a base bath can help with neurodermatitis never seems to have been investigated. Thus, we could not find any indication that basic cosmetics alleviate symptoms of neurodermatitis. However, there are no meaningful studies comparing the effect of low and high pH care products [1].",unknown,"To date, there is no meaningful research on this."
218,"Does birch water, also called birch sap, help with health problems?","However, without success: We could not find a single study in which health effects of birch water were the subject. However, the experiments do not give any concrete indication of the allegedly anti-inflammatory effect of birch water. No studies in humans But even if an efficacy could have been demonstrated in experimental animals or in cells in the test tube, this would not be proof for a long time that humans also benefit from birch water. But because high-quality studies are missing, it is not possible to say whether birch water could be harmful for some people. The studies in detail There are no studies that have investigated the effect of birch water on human health.",unknown,"So far, there are no studies that have investigated this issue. Therefore, evidence for the effectiveness of birch water is lacking. The side effects have also not been researched."
219,Is oolong tea an effective way to lose weight?,"However, we could not find any meaningful studies on this issue. However, we could not make any statements about health-enhancing weight loss in overweight people. The studies in detail We have not found any meaningful studies.",unknown,"We have not found any studies on the subject. Therefore, we cannot judge whether commercial oolong tea helps overweight people reduce their weight."
220,"Do Waveex and similar products reduce exposure to electromagnetic fields, for example when using a cell phone or smartphone?","Waveex: The evidence is missing During extensive research in two large databases for medical publications, we did not find a single study on stickers such as Waveex or other similar products. However, the way the data has been evaluated cannot answer whether the sticker has the claimed effect: The research team has not investigated whether the pulse frequency varies between phone calls with and without Waveex stickers. However, for none of these claims there are evidence or studies that have investigated this. However, the study cannot show that this affects the health of the subjects. Reducing radiation without stickers There are some measures that can easily and scientifically reduce radiation exposure when making calls – without Gabriel chip and Waveex stickers [2] [6].",unknown,The alleged active principle of Waveex and other comparable products is not scientifically plausible. We also found no meaningful study that could provide information about a possible effect of the cell phone stickers.
221,Can ingredients in deodorants like aluminum salts cause breast cancer?,"In any case, in the course of our extensive literature search in medical databases, we could not find any methodologically valuable meaningful studies that establish a definite connection between the use of deodorants and breast cancer. However, there are currently no studies or other evidence suggesting a risk of parabens or a connection with the development of breast cancer. The fact that higher aluminium concentrations have been found in cancer samples does not yet prove that aluminium has contributed to the development of cancer. Even if the deodorants are actually co-causers of breast cancer diseases, it is not possible to assess which deodorants should have led to this examination. For this reason, we do not believe that the results of this study prove that Deos cause or do not cause breast cancer.",unknown,Whether the long-term use of deodorants can lead to breast cancer has not been sufficiently researched. There is a lack of studies conducted according to strict criteria with people over a longer period of time.
222,"Does the intake of black cumin improve the symptoms of asthma, e.g. shortness of breath?","Little persuasive As we found out, the data on black cumin in asthma is very thin: we found only four smaller studies [1-4]. However, there was no overall convincing effect of black cumin on asthma: three studies [1-3] reported a positive result in the publications, one study [4] found no effect. In the two studies, which seem to us to be the most reliable method [2,3], the measured improvements are so small that they are probably not noticeable for people with asthma. In the other study [3], it is not possible to determine exactly whether the three events described (stomach problems, headaches, sleep disorders) have occurred with black cumin or the dummy medication. Statements about the effects of prolonged use of black cumin cannot be made with this.",unknown,The question has been investigated in four small studies. Some of them have serious methodological flaws and come to contradictory results.
