idx,label,sentence1,sentence2,explanation
5764,contradiction,Two older males sitting together on a river boat tour.,young ladies are riding a boat.,They are either older males or young ladies.
5765,entailment,Two older males sitting together on a river boat tour.,Two males sitting together on a boat,The males are sitting on the boat
5766,entailment,Two older males sitting together on a river boat tour.,Two males are riding a boat,A rive boat is a type of boat.
5767,neutral,in a girls basketball game she is shooting a foul shot,The girl got pushed hard by the other player.,Just because the girl is shooting a foul shot does not she was pushed by someone else.
5768,entailment,in a girls basketball game she is shooting a foul shot,The girl is taking extra shots fro the line.,Taking extra shots fro the line means shooting a foul shot.
5769,contradiction,in a girls basketball game she is shooting a foul shot,The girls are dancing.,There can be no dancing in a basketball game
5770,entailment,The white dog with brown spots is walking through shallow water.,The dog is wading through shallow water.,A dog walking through shallow water must be wading.
5771,neutral,The white dog with brown spots is walking through shallow water.,The dog is wading through water to get to his toy.,"While both wading through water and walking through shallow water indicate that the dog is passing through water that is not deep enough to swim in, wading brings connotations of greater labor with it, indicating that the water is most likely deeper than a shallow puddle. Adding to get to his toy adds a purpose for wading through the water that is not indicated in the first sentence."
5772,contradiction,The white dog with brown spots is walking through shallow water.,The white and brown dog is standing on the edge of the water.,Dog cannot simultaneously be walking and standing.
5773,neutral,A man in a small kayak is floating down the river.,A man got lost on his boating trip.,Floating down a river doesn't mean the man is lost.
5774,contradiction,A man in a small kayak is floating down the river.,A man is waiting in traffic.,The man cannot be waiting in traffic and floating down the river.
5775,entailment,A man in a small kayak is floating down the river.,A man is in a boat.,"A kayak is a boat, therefore if a man is in a kayak then he is in a boat."
5776,entailment,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,There is a girl with an animal,A little girl in an aquarium while the dolphin swims in the background implies that a girl is with an animal.
5777,contradiction,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,The girl is in surgery,One cannot be drinking her soda while simultaneously being in surgery.
5778,neutral,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,The girl is on a school field trip,A little girl can go to an aquarium without being on a school field trip.
5779,entailment,A man cooks a large amount of shellfish in a wok outdoors.,He made the  shellfish  outside.,The man made the shellfish outside is the same as cooking outdoors
5780,contradiction,A man cooks a large amount of shellfish in a wok outdoors.,the water  looks  cold  to swim in.,A person who cooks fish engages in a different activity than a person who assesses the temperature for a swim.
5781,entailment,A man cooks a large amount of shellfish in a wok outdoors.,The  shellfish  was cooked  in  awok.,Shellfish was cooked is a paraphrase of cooks a large amount of shellfish.
5782,neutral,A woman wearing a large bandanna around her neck is sitting at a table putting poker chips into a plastic bag.,"a woman sitting at a table is done playing poker, so she is putting the poker chips away.",Just becasue she is putting poker chips into a plastic bag does not mean she is done playing poker.
5783,contradiction,A woman wearing a large bandanna around her neck is sitting at a table putting poker chips into a plastic bag.,a woman is standing at a table playing poker.,She would need the poker chips to play poker and couldn't be putting them in a bag
5784,entailment,A woman wearing a large bandanna around her neck is sitting at a table putting poker chips into a plastic bag.,a woman is wearing fashion accessories while sitting at a table.,"a woman wearing a bandanna, bandanna is a fashion accessories"
5785,neutral,on a snowy day a man with a north face jacket walks through the crowded streets past a garbage truck,The man is wearing a ski jacket outside to walk to work.,We do not know if the man is walking to work
5786,entailment,on a snowy day a man with a north face jacket walks through the crowded streets past a garbage truck,A man walks down the street in winter.,"A snowy day implies that it is winter, and it both cases the man is walking down the street."
5787,contradiction,on a snowy day a man with a north face jacket walks through the crowded streets past a garbage truck,The garbage man is handing out icicles.,The garbage truck cannot be on a crowded street if the garbage man is handing out icicles.
5788,entailment,"A family holding hands in the snow are behind a man and his son, whom is wearing a blue jacket.",A family holds hands in the snow.,""" holding hands in the snow"" can be inferred as ""holds hands in the snow."""
5789,contradiction,"A family holding hands in the snow are behind a man and his son, whom is wearing a blue jacket.",A family enjoy the beach on a summer day.,The family cannot simultaneously be in the snow and at the beach
5790,neutral,"A family holding hands in the snow are behind a man and his son, whom is wearing a blue jacket.",A family holds hands in the snow in Alaska.,"Holding hands in snow may be done in any place, not only Alaska."
5791,contradiction,A lumberjack cuts down a pine tree in a snowy area.,A lumberjack cuts down a tree in a desert.,snowy area can't be dessert
5792,neutral,A lumberjack cuts down a pine tree in a snowy area.,A lumberjack wields a chainsaw to chop down a pine tree.,We have no idea if the lumberjack wields a chainsaw. We don't even know what he is using.
5793,entailment,A lumberjack cuts down a pine tree in a snowy area.,A lumberjack is chopping wood outside.,Chopping means also means cuts down.
5794,entailment,A gymnast in a blue and pink leotard is standing on her right foot with her left foot in the air and waving a ribbon.,A gymnast is waving a ribbon.,The gymnast in a leotard is also a gymnast
5795,neutral,A gymnast in a blue and pink leotard is standing on her right foot with her left foot in the air and waving a ribbon.,An olympic gymnast is waving a ribbon.,Not all gymnasts would be an olympic gymnast.
5796,neutral,A gymnast in a blue and pink leotard is standing on her right foot with her left foot in the air and waving a ribbon.,A gymnast is strecthing before the match.,Standing a certain way does not imply that the gymnast is stretching before the match.
5797,neutral,An extremely wet woman is wading in front of a waterfall.,A dripping wet woman walks in front of a waterfall after swimming.,Being wet does not imply the woman just went swimming.
5798,entailment,An extremely wet woman is wading in front of a waterfall.,A woman dripping with water walks in front of a waterfall.,"The woman is dripping wet with water while she walks in front of the waterfall, she is not swimming."
5799,contradiction,An extremely wet woman is wading in front of a waterfall.,A woman is sitting in the desert with a flat tire.,"If she is wading in front of waterfall, she cannot be sitting in the desert."
5800,neutral,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is famous.,The older man may not be famous at all.
5801,contradiction,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is talking to another man.,The man is either talking to a woman or another man.
5802,entailment,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is wearing a blue jacket.,A gentleman is a man.
5803,entailment,A blond child is hiding behind a wooden post.,The person depicted is not an adult.,A blond child is not an adult.
5804,entailment,A blond child is hiding behind a wooden post.,The child might be outside.,A child is hiding outside.
5805,contradiction,A blond child is hiding behind a wooden post.,The child is a brunette.,The child cannot be both blond and a brunette.
5806,neutral,Two cars are parked by a body of water by some cranes.,Two cars belonging to crane operators parked near their crane.,"Cars parked near cranes need not belong to crane operators. If cars are parked near a crane, it doesn't mean that the crane belongs to the car owners and as such it cannot be assumed that it is their crane."
5807,contradiction,Two cars are parked by a body of water by some cranes.,Two cars parked inside of a garage.,"The cars can be either next to the water, or inside of a garage."
5808,entailment,Two cars are parked by a body of water by some cranes.,Two cars parked near a body of water and a crane outside.,The two cars are parked outside by the crane and body of water.
5809,neutral,People working together to build a shed.,people are building a bike shed,We have no idea if they are building a bike shed or another type of shed.
5810,entailment,People working together to build a shed.,people are building,"people are working to build, and are therefore building."
5811,contradiction,People working together to build a shed.,people are doing nothing,You can not be working and doing nothing at the same time.
5812,neutral,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast is a professional.,he is a gymnast but not necessarily a professional one
5813,contradiction,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast is from Trinidad.,The gymnast cannot be from both Trinidad and Romania.
5814,entailment,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast wore red.,"Romania has three national colors, one of them is red."
5815,contradiction,A black dog and a goose swim in the water.,The animals are not in the water.,They can't swim in the water and not be in the water simultaneously.
5816,entailment,A black dog and a goose swim in the water.,There are two animals in the water.,A black dog and a goose are two animals.
5817,neutral,A black dog and a goose swim in the water.,The goose has something in its mouth.,There is no indication the goose from sentence one has anything in its mouth or the goose from sentence two is in the water.
5818,contradiction,A man standing a busy European town square with a tall placard sign printed with biblical phrases.,Devil worshipers place black candles and dark drawings on the floor of an abandoned building.,Biblical phrases is the opposite of devil worshipers.
5819,neutral,A man standing a busy European town square with a tall placard sign printed with biblical phrases.,A local religious curate tries to convince passers by to come to his church.,A man holding a religious sign is not necessarily a religious curate.  A man standing in a town square is not necessarily a local of that town.  A man holding a religious sign is not necessarily trying to convince passers by to come to his church.
5820,entailment,A man standing a busy European town square with a tall placard sign printed with biblical phrases.,A person holding religious information is in the main location of an urban center.,"a man is a person, busy European town is urban center and tall placard sign with bibilical phrases is religious information"
5821,contradiction,"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward.",They all eat giant sandwiches,"wearing a helmet and mask covers your mouth, so it is impossible to eat sandwiches wile wearing them"
5822,neutral,"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward.",The convention of bicyclists are ready for the marathon,Just because they are wearing helmets doesn't mean they are bicyclists.
5823,entailment,"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward.",The camera catches the faces of a crowd of people,"""The camera catches the faces"" implies that the people face the camera."
5824,entailment,A horse and rider on a steeplechase course.,A jockey is riding a horse.,A horse rider is known as a jockey.
5825,contradiction,A horse and rider on a steeplechase course.,Three horses are playing in a field together.,The rider is missing from the second sentence.
5826,neutral,A horse and rider on a steeplechase course.,A horse is about to win a steeplechase race.,Just because a horse is on a steeplechase court does not mean they are in a race or that they are going to win.
5827,contradiction,Two men trying to hoist themselves up from the water on to a walkway made of tires.,two men are at a ball game,the men can not be at a ball game if they are trying to hoist themselves up from the water in sentence one
5828,neutral,Two men trying to hoist themselves up from the water on to a walkway made of tires.,two men are helping each other,The men might be working separately and not helping each other.
5829,entailment,Two men trying to hoist themselves up from the water on to a walkway made of tires.,two men are climbing out of the water,Hoist is another way to say climbing out.
5830,neutral,Two men climb onto tires while sitting in the muddy water.,two men are looking for a lost ring,Just because two men climb on to tires doesn't mean they are looking for a lost ring.
5831,contradiction,Two men climb onto tires while sitting in the muddy water.,the men are dry,The men can't be in muddy water while they are dry.
5832,entailment,Two men climb onto tires while sitting in the muddy water.,the men are wet,The two men sitting in muddy water means that they are wet.
5833,neutral,Two men are trying to kick each other.,Two men are having a brawl.,"Just because the men are kicking each other, doesn't necessarily mean it's a brawl."
5834,neutral,Two men are trying to kick each other.,Two men are fighting.,"The men could be practicing or testing their reflexes, kicking each other does not imply they are fighting."
5835,contradiction,Two men are trying to kick each other.,Two ladies are kicking each other.,The people cannot simultaneously be men and be ladies
5836,contradiction,A woman shielding her face from the sun with a colorful umbrella.,The woman is avoiding the rain by using an umbrella.,The woman is avoiding either rain or sun but not both at the same time.
5837,neutral,A woman shielding her face from the sun with a colorful umbrella.,The woman is concerned about sun damage.,You can not infer she is concerned.
5838,entailment,A woman shielding her face from the sun with a colorful umbrella.,A person is outdoors on a sunny day.,"Woman is person, and the sun implies sunny day."
5839,entailment,Two young women are standing in the middle of a flower garden with their arms wide open.,There are flowers in the garden.,Flower garden means there are flowers in the garden.
5840,contradiction,Two young women are standing in the middle of a flower garden with their arms wide open.,Two women are having lunch in a cafeteria.,One cannot be standing and having lunch simultaneously.
5841,neutral,Two young women are standing in the middle of a flower garden with their arms wide open.,The two women are admiring the flowers.,People can stand in the middle of a flower garden with their arms wide open without the intention of admiring the flowers.
5842,neutral,A band which includes an Upright Bass Player is playing in a tent in front of Canadian flags.,The band is playing bluegrass.,A band which includes an Upright Bass Player doesn't necessarily play bluegrass.
5843,contradiction,A band which includes an Upright Bass Player is playing in a tent in front of Canadian flags.,The band has no bass player.,Either the band has a bass player or they have no bass player.
5844,entailment,A band which includes an Upright Bass Player is playing in a tent in front of Canadian flags.,A bass player is playing the bass.,The bass player is part of the band.
5845,contradiction,A band is performing on stage for people.,A band practicing alone in their parents' basement,The band can't be performing if they're practicing.
5846,entailment,A band is performing on stage for people.,People watching a band perform.,People must be watching if a band is performing.
5847,neutral,A band is performing on stage for people.,A rockband playing music at a performance,Not every band is considered a rockband.
5848,entailment,A couple sit on a park bench with purple balloons tied to it.,people at the park.,A couple are people.  Being on a park bench implies that they are at the park.
5849,contradiction,A couple sit on a park bench with purple balloons tied to it.,A couple watching television,You cannot sit on a park bench while watching television.
5850,neutral,A couple sit on a park bench with purple balloons tied to it.,People at a birthday party.,Just because there are purple balloons at tied to a bench doesn't mean the people are at a birthday party.
5851,neutral,A man in a large crowd converses with his friends.,A man is giving a speech to his peers.,To converse with friends in a large crowd does not necessarily mean giving a speech to one's pears.
5852,contradiction,A man in a large crowd converses with his friends.,A man is standing alone in the auditorium.,"there is either a large crowd or someone is standing alone, these cannot take place at the same location."
5853,entailment,A man in a large crowd converses with his friends.,A man is talking to a bunch of his friends.,A man conversing in a large crowd is talking to a bunch of his friends.
5854,contradiction,A group of construction workers are walking.,the flies are eating shark,A group of construction workers bears no resemblance to flies and the workers are walking instead of eating shark.
5855,neutral,A group of construction workers are walking.,the workers are walking home,The workers could be walking at their job or even to their job. People don't just walk home.
5856,entailment,A group of construction workers are walking.,the workers are walking,Both sentence have workers walking to their destination.
5857,entailment,Construction workers walk towards their next job.,The workers are walking outside,Workers entail construction workers and of walking towards their next job means they must be walking outside.
5858,neutral,Construction workers walk towards their next job.,The workers are looking forward to the last job of the day.,There is no mention that it is the last job of the day or that the workers are looking forward to it.
5859,contradiction,Construction workers walk towards their next job.,The construction crew is done for the day,The crew cannot simultaneously be done for the day and walk to the next job
5860,contradiction,A small child is sitting on a stump in a forest clearing.,a little boy is playing hide and seek in the woods,"The child must either be sitting or playing, but not both, and he is either in the woods or in a forest clearing."
5861,contradiction,A small child is sitting on a stump in a forest clearing.,a little boy was fishing in a pond,The boy cannot be both at a pond and a forest clearing simultaneously
5862,neutral,Two guys are on a baseball field and one is about to hit the base.a group,The guys are in the MLB.,You can not infer they are in the MLB.
5863,entailment,Two guys are on a baseball field and one is about to hit the base.a group,One of the guys is a batter.,"Batter, refers to the baseball player who is about to hit."
5864,contradiction,Two guys are on a baseball field and one is about to hit the base.a group,The guys are eating together in a restaurant.,baseball field and restaurant are different spot hit and eating are different actions
5865,neutral,Pretty young lady brushing her teeth.,The lady is in the bathroom.,"Teeth may be brushed outside also, she  need not be in the bathroom."
5866,contradiction,Pretty young lady brushing her teeth.,The lady is old and ugly.,"A lady can't be young and old, or pretty and ugly at the same time."
5867,neutral,Pretty young lady brushing her teeth.,The lady is getting ready for a date.,A lady brushing her teeth does not indicate that she is preparing for a date.
5868,entailment,"A man standing in the road wearing a black jacket, red shirt and jeans on a cold, snowy day.",A man is standing in the road wearing a black jacket.,When the weather is cold and snowy people need to wear jackets.
5869,contradiction,"A man standing in the road wearing a black jacket, red shirt and jeans on a cold, snowy day.",A man is standing in the road wearing a white jacket.,The man can be wearing either a black or white shirt.
5870,neutral,"A woman is at an art studio, painting a mural from her art supplies.",The woman is painting a self portrait.,Woman can paint anything not only self portrait.
5871,contradiction,"A woman is at an art studio, painting a mural from her art supplies.",The is pass out on the floor.,either women would be painting or pass out
5872,entailment,"A woman is at an art studio, painting a mural from her art supplies.",The woman is indoors.,At an art studio implies is indoors.
5873,neutral,Two females and one male looking at various merchandise.,A family is window shopping together.,The people mentioned in the first sentence might not be family and there is no mention of a window where the merchandise is held.
5874,entailment,Two females and one male looking at various merchandise.,Two girls and one man are browsing the store.,Females are the same thing as girls and male is the same thing as man
5875,contradiction,Two females and one male looking at various merchandise.,Two girls and one man are destroying merchandise.,The people cannot be both looking  at merchandise and destroying merchandise.
5876,contradiction,A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in purple celebrates.,The purple celebrates while the other purple curls up and the blue celebrates.
5877,contradiction,A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in blue is undefeated.,the wrestler is either wearing purple or wearing blue.
5878,entailment,A man high on a tightrope walks and balances.,A man is balancing.,A man is balancing if he is on a tightrope.
5879,neutral,A man high on a tightrope walks and balances.,A man is working at the circus.,A man on a tight rope balancing need not necessarily be working in a circus.
5880,contradiction,A man high on a tightrope walks and balances.,A is falling.,If one is balancing they cannot be falling
5881,neutral,Two teen girls relax on a black futon.,Two young girls are sitting inside.,Not all futons are inside.
5882,contradiction,Two teen girls relax on a black futon.,Two young girls are running outside.,Running outside can't be the same as relaxing on a futon
5883,neutral,Two teen girls relax on a black futon.,Two young girls are waiting for their mom to get ready.,"Teen girls does not imply young girls, and relaxing on a black futon does not imply that they are waiting for their mom to get ready."
5884,contradiction,"A group of people wearing blue shirts, standing in the grass.",A group of naked people sitting in the grass.,People cannot be naked and wearing blue shirts simultaneously.
5885,entailment,"A group of people wearing blue shirts, standing in the grass.",People standing in the grass.,People form a group.
5886,neutral,"A group of people wearing blue shirts, standing in the grass.",People standing in the grass talking about their problems.,Standing in the grass doesn't imply talking about own problems.
5887,contradiction,Tourists on a bridge pose for a photograph.,The President of the United States sits at his desk in the Oval Office.,Action of a pose as opposed to sits. (Although I could conjecture the Prez be posing know what I mean)
5888,entailment,Tourists on a bridge pose for a photograph.,People pose for a photograph.,Answer: People are the tourists
5889,neutral,Tourists on a bridge pose for a photograph.,Tourists at London Bridge pose for a photograph.,Just because there are tourists on a bridge does not necessarily mean it is London Bridge.
5890,neutral,A couple being romantic under the sunset.,A man and a woman touching each other  looking at the sunset.,couple doesn't mean man and woman
5891,entailment,A couple being romantic under the sunset.,People are enjoying sundown.,They are enjoying sundown because they are under the sunset.
5892,contradiction,A couple being romantic under the sunset.,A couple having fight.,Can’t be romantic and have fight at same time
5893,entailment,A man in a blue suit reached towards a seated women in an office.,There are people in the office.,"If a man reaches toward a woman in an office, there must be people in the office."
5894,neutral,A man in a blue suit reached towards a seated women in an office.,The man is giving the woman her paycheck.,Reaching towards the seated woman does not imply he is giving the woman her paycheck.
5895,contradiction,A man in a blue suit reached towards a seated women in an office.,The man is wearing an orange suit.,The man's suit is either blue or orange.
5896,entailment,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A DJ plays music for a crowd while they play with a green balls.,A DJ runs a sound board must be a DJ who plays music while a person throws green balls into the air must play with green balls.
5897,neutral,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A band plays at a beach party.,band could've been playing anywhere other than at a beach party
5898,entailment,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A crowd of santas are on stage at a Christmas party.,It is implied that they are at a Christmas party.
5899,contradiction,A farmer gives a tour of his farm to local families,A dog jumping through hoops.,Is the farmers giving a tour or is the dog jumping through hops.
5900,entailment,A farmer gives a tour of his farm to local families,people are outside,"Since farms exist outdoors, the people on the tour of the farm must be outside."
5901,neutral,A farmer gives a tour of his farm to local families,a farmer selling his farm,The second sentence states the farmer is selling his farm and not just giving tours
5902,contradiction,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,The children are inside playing video games.,Wooden lawn chairs implies the children are sitting outside rather than inside playing video games.
5903,neutral,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,The children are getting ready for anap.,"That two kids are sitting in the chair does not imply they are preparing for, or getting ready for, another task.  Just because the children are sitting does not suggest that they are getting ready for anap."
5904,entailment,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,Two children are on the lawn.,The children are on the lawn because they are sitting in a lawn chair.
5905,contradiction,a man and woman hug.,Everyone is standing apart.,They cannot hug if they are standing apart.
5906,entailment,a man and woman hug.,Some people are hugging.,A man and woman are people.
5907,neutral,a man and woman hug.,Someone is wearing a blue shirt.,The color of a shirt is not mentioned
5908,contradiction,"On a sunny day, in a lush, green field, one small girl inspects a rock while her friend goes off in another direction.",A girl sleeps,A girl can't inspect a rock nor go anywhere while she sleeps.
5909,entailment,"On a sunny day, in a lush, green field, one small girl inspects a rock while her friend goes off in another direction.",A girl watches a rock outside,The girl watches a rock because she inspects the rock.
5910,neutral,"On a sunny day, in a lush, green field, one small girl inspects a rock while her friend goes off in another direction.",A girl watches something,The girl may not be watching something as she inspects the rock.
5911,entailment,"People in a warehouse, with one man kicking a bag.",People inside.,"People in a warehouse, means they are inside."
5912,contradiction,"People in a warehouse, with one man kicking a bag.",A group of dogs chasing a cat.,People are not dogs and a cat.
5913,neutral,"People in a warehouse, with one man kicking a bag.",A group of people playing a game by kicking a bag around.,kicking a bag doesn't always mean playing a game
5914,contradiction,A dog begins to climb a brick staircase near plants.,The dog is eating the plants.,The dog cannot both climb the staircase and be eating the plants; the dog can only do one of these activities at a time.
5915,neutral,A dog begins to climb a brick staircase near plants.,The plants are dead.,"The plants could be alive, there is no reason for the plants to be dead."
5916,entailment,A dog begins to climb a brick staircase near plants.,A dog is going up the stairs.,"Brick staircase is a paraphrase of stairs, and going up means to climb."
5917,neutral,A determined crosscountry runner.,A man tests himself against the enviroment,Just because someone is a determined crosscountry runner it does not necessarily mean he tests himself against the environment.
5918,neutral,A determined crosscountry runner.,A runner transcends his psychial  boundaries,A cross country runner can be determined and also not transcend his psychial boundaries.
5919,contradiction,A determined crosscountry runner.,Running away from a stray dog,Running crosscountry is different than running from a stray dog.
5920,entailment,a bride and a groom at their wedding kissing,A newly married couple kiss.,A bride and a groom are a couple.  Couples kiss at their wedding.
5921,neutral,a bride and a groom at their wedding kissing,A new couple kiss every time someone rings a bell at the reception.,There is not always a bell at a wedding.
5922,neutral,Two workers wearing orange vests are working on treads.,Two men are co-workers.,Two workers working on treads doesn't mean that they're co-workers.
5923,contradiction,Two workers wearing orange vests are working on treads.,Two men are wearing purple dresses.,The workers can be men or  women but the men can only be men.
5924,neutral,Two workers wearing orange vests are working on treads.,Two men are working in a garage.,We do not know that they are in a garage
5925,neutral,A brown dog in running on grass.,A dog is playing at the park,We do not know if the dog is playing. Perhaps it has escaped its yard and is lost.
5926,entailment,A brown dog in running on grass.,A dog is moving around,"If a dog is running, it is moving."
5927,contradiction,A brown dog in running on grass.,A dog is sleeping at the beach,the dog can not be sleeping at the beach if it is running on grass
5928,entailment,Three dogs drinking water at a public spigot.,Dogs drink water in public.,Dogs are drinking water at a spigot.
5929,entailment,Three dogs drinking water at a public spigot.,Dogs drink from a public city supplied water supply.,"Dogs, refers to the three dogs drinking water from a public spigot."
5930,contradiction,Three dogs drinking water at a public spigot.,Three dogs run through the arctic.,Dogs cannot be drinking and running at the same time.
5931,entailment,A man kneeling and a woman standing next to him.,The man is near a woman.,"When a man is standing next to a woman, he is near her."
5932,neutral,A man kneeling and a woman standing next to him.,The man is tying the woman's shoe.,There can be various reasons why the man is kneeling besides tying the woman's shoe.
5933,contradiction,A man kneeling and a woman standing next to him.,The couple are sitting down for dinner.,If the couple are sitting down the man cannot be kneeling while the woman is standing.
5934,neutral,A local policeman standing in front of the counter with complete equipments belted to his waist.,A local policeman standing stiff in front of the counter,Standing stiff conveys a serious situation rather than standing simply as a standard procedure
5935,contradiction,A local policeman standing in front of the counter with complete equipments belted to his waist.,A local policeman standing in front of the spaceship,The policeman is either standing in front of a counter or spaceship.
5936,entailment,A local policeman standing in front of the counter with complete equipments belted to his waist.,A local policeman standing in front of the counter,"A policeman standing in front of the counter, but his equipment may or may not be important enough to note."
5937,neutral,"Woman is playing with a young girl, by holding her upside down.",Woman is holding a toddler upside down by the ankles.,You can not infer she is holding her by the ankles.
5938,contradiction,"Woman is playing with a young girl, by holding her upside down.",Woman is cooking dinner.,Woman cannot play with a young girl and cook dinner at the same time.
5939,entailment,"Woman is playing with a young girl, by holding her upside down.",Woman is  holding a child upside down.,A young girl is a child.
5940,entailment,A little girl with blond pigtails is being held upside down by a blond woman with a ponytail.,Two blond females are together.,"""A little girl with blond pigtails "" and ""a blond woman "" are ""Two block females """
5941,neutral,A little girl with blond pigtails is being held upside down by a blond woman with a ponytail.,A blond woman is helping a little girl perform a handstand.,A woman holding a little girl upside down does not necessarily mean that she is helping the girl perform a HANDSTAND.
5942,contradiction,A little girl with blond pigtails is being held upside down by a blond woman with a ponytail.,Two blond females are swimming.,One cannot be held upside down if they are swimming.
5943,entailment,A boy plays in the surf.,A boy is playing on the beach.,In the surf implies on the beach.
5944,neutral,A boy plays in the surf.,The boy is wearing red trunks.,The boy in the surf may not be wearing red trunks.
5945,contradiction,A boy plays in the surf.,The boy is building a tent.,The boy cannot be building a tent and play in the surf simultaneously
5946,entailment,Five people are in a swimming pool 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in.,People are at a pool.,"There are people at the swimming pool, one is getting ready to jump in."
5947,contradiction,Five people are in a swimming pool 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in.,The pool is 10ft deep.,3 ft is different than 10 ft
5948,neutral,Five people are in a swimming pool 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in.,A child is learning to swim.,A child wearing floaties may not be learning to swim.
5949,contradiction,A little boy learning to swim in a pool with his arm floaties.,The little boy is diving off the diving board because he is an excellent swimmer.,The boy is learning swimming and in second diving off the board
5950,entailment,A little boy learning to swim in a pool with his arm floaties.,The little boy is in the water.,A little boy is in the water and he is learning how to swim with his arm floaties.
5951,neutral,A little boy learning to swim in a pool with his arm floaties.,The little boy is learning to swim at a group lesson teaching children in the community pool.,Just because the boy is learning to swim doesn't mean he is learning in a group lesson.
5952,neutral,A busy street scene on a rainy day full of umbrella toting walkers.,A bunch of people wearing glasses.,All Umbrella toting walkers do not wear glasses
5953,entailment,A busy street scene on a rainy day full of umbrella toting walkers.,A bunch of people holding umbrellas on a rainy day.,There are a bunch of people because the street is busy.
5954,contradiction,A busy street scene on a rainy day full of umbrella toting walkers.,A bunch of people sitting on the beach on a cloudless day.,"A rainy day is one with many clouds where a cloudless day is, well cloudless and clear."
5955,neutral,a woman walks with her big purse.,Crowded street with a woman moving around,A woman walks with her big purse don't necessarily imply that she is in a crowded street.
5956,contradiction,a woman walks with her big purse.,A women playing in ground,it would either be women or woman
5957,neutral,a woman walks with her big purse.,A beautiful female passing by crowd,who knows if she is beautiful or walking by a crowd
5958,neutral,"a crowd gather together, all looking in the same direction.",A large crowd is curious about something.,A crowd is not assumed to be large.  Looking in the same direction does not imply that they are curious about something.
5959,neutral,"a crowd gather together, all looking in the same direction.",A large crowd are preparing to watch the parade.,"A crowd gathering together, looking in the same direction does not mean they are preparing to watch any sort of parade."
5960,contradiction,"a crowd gather together, all looking in the same direction.",A large crowd are pulling a long rope.,"In the first statement the crowd is looking in a direction, in the second statement the crowd is performing the action of pulling the rope."
5961,entailment,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,a chef speaks into a microphone near a bowl,About a bowl is similar to near a bowl.
5962,contradiction,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef jumps,A chef speaks into a microphone and jumps at the same time is an impossibility.
5963,entailment,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef speaks,"""A chef speaks"" is a shortened form of ""A chef speaks into a microphone..."""
5964,contradiction,Two dogs run together across a grassy lawn.,The dogs are swimming.,Dogs cannot be both running across a grassy lawn and swimming.
5965,neutral,Two dogs run together across a grassy lawn.,The dogs are related.,Not all dogs are related.
5966,entailment,Two dogs run together across a grassy lawn.,The dogs are outside.,Being on a lawn implies being outside
5967,neutral,Children standing and climbing near a fountain.,Children standing and climbing near a fountain after school.,There is nothing to indicate the children are doing this after school.
5968,entailment,Children standing and climbing near a fountain.,Kids standing and climbing.,The kids are standing and climbing near the fountain.
5969,contradiction,Children standing and climbing near a fountain.,Children running around playing tag.,"Standing is being still, and to run is a movement."
5970,entailment,A man in a white lab coat is looking through a microscope.,There is a man examining items through a scope,Looking through a microscope is examining items through a scope.
5971,entailment,A man in a white lab coat is looking through a microscope.,There is a man looking through a scope,"""A man looking through a scope"" is a rephrasing of ""man in a white lab coat is looking through a microscope"" with less detail."
5972,contradiction,A man in a white lab coat is looking through a microscope.,There is a man purchasing a scope,A man purchasing a scope is definitely not looking through a microscope at the same time.
5973,contradiction,A man in a lab coat looking into a microscope with containers in the background.,A man in a lab coat takes a lady's blood.,A man would not be looking into a microscope and taking a lady's blood at the same time.
