,questions,documents,answers,explanations
198,Hat Kombucha eine positive Wirkung auf die Gesundheit?,"Aussagekräftige Studien scheinen jedoch bisher nicht durchgeführt worden zu sein. Weder wir noch zwei andere Forschungsgruppen [1,2] konnten Studien finden, welche die Wirkung von Kombucha beim Menschen untersucht haben. Derzeit lässt sich also weder belegen noch ausschließen, dass Kombucha die Gesundheit positiv beeinflusst. Trotz aufwändiger Suche in drei Forschungsdatenbanken konnten wir keine solchen Studien finden.",unknown,"Es gibt keine Studien, welche die Wirkung von Kombucha beim Menschen aussagekräftig untersucht haben. Zudem besteht der Verdacht, dass selbst hergestellter Kombucha in seltenen Fällen zu Lebererkrankungen oder einer gefährlichen Übersäuerung des Bluts füh"
199,Ist Graviola ein wirksames und sicheres Mittel zur Krebsbehandlung?,"Keinerlei Beweise für Anti-Krebs-Wirkung  Wir mussten feststellen: Für derartige Behauptungen gibt es keinerlei seriöse Belege. Daher können wir nicht bestätigen, ob oder welche Substanzen aus dem Graviola-Baum bei Krebserkrankungen helfen könnten. Allerdings sind Laborexperimente, Fallberichte oder Schilderungen aus der Volksmedizin keineswegs Belege dafür, dass Graviola-Substanzen wirklich gegen Krebs wirken. Die Studien im Detail   Zu Graviola existieren keine aussagekräftigen Studien, an denen Menschen mit einer gesicherten Krebsdiagnose teilgenommen haben.",unknown,Aussagekräftige Studien mit gesunden oder erkrankten Menschen fehlen bisher.
200,Verbessert die Einnahme von Präparaten mit Bockshornklee-Extrakt das Sexualleben bzw. die Zufriedenheit damit?,"Aussagekräftige Studien zu dem Präparat (Extrakt aus Bockshornkleesamen, Eisen, Zink und Vitamin B6) aus der Leseranfrage haben wir nicht finden können. Nutzen oder gute Verträglichkeit von Mitteln mit Extrakten aus Bockshornklee-Samen lassen sich mit den bisher vorliegenden Untersuchungen also nicht belegen.",unknown,"Wir kommen zu dem Schluss, dass sich anhand der bislang besten verfügbaren Studien keine belastbaren Aussagen treffen lassen. Wir haben nur zwei kleinere Studien mit schweren methodischen Mängeln gefunden. Die errechneten positiven Ergebnisse sind wenig verlässlich."
201,Verbessert Disulfiram die Wirksamkeit einer Chemotherapie bei Krebs?,"Praktisch schlecht belegt  Ob Disulfiram tatsächlich die Wirksamkeit oder die Verträglichkeit einer Chemotherapie verbessert, ist derzeit jedoch unklar. In der zweiten Studie [2] lebten die Patientinnen und Patienten, die zusätzlich zu einer Chemotherapie mit Disulfiram behandelt wurden, knapp drei Monate länger. Ob Disulfiram in Kombination mit moderneren Behandlungsmethoden ähnliche Effekte hätte, ist zum jetzigen Zeitpunkt unklar.",unknown,Die Fragestellung wurde nur in zwei älteren und kleinen Studien bei Menschen mit weit fortgeschrittenen Krebserkrankungen untersucht. Die Studien haben schwere methodische Mängel und kommen zu widersprüchlichen Ergebnissen.
202,Können binaurale Beats Stress oder Angst vor Operationen und ärztlichen Behandlungen lindern?,"Unterschiede zwischen den Gruppen bei der Angst-Intensität konnte das Studienteam nicht finden. Bei einer gut gemachten Studie könnten wir nun annehmen, dass binaurale Beats keine spezielle Wirkung haben. Doch die Aussagekraft der Studie ist gering, und wir können diesen Schluss nicht verlässlich ziehen.",unknown,Bisherige Studien sind nicht aussagekräftig. Zudem widersprechen sich ihre Ergebnisse.
203,Ist eine vegane Ernährung gesünder als eine vegetarische Ernährung?,"Sowohl vegan als auch vegetarisch lebende Menschen erkrankten in diesen Studien weniger häufig an Krebs. Ob das auch auf vegan lebende Menschen zutrifft, ist jedoch nicht ausreichend untersucht [1] . Ohne diesen lässt sich nicht verlässlich feststellen, ob vegan das „gesündere Vegetarisch“ ist. Positive gesundheitliche Auswirkungen über die einer vegetarischen Ernährung hinaus sind jedoch nicht belegt. Für eine konkrete Aussage fehlen jedoch direkte Vergleiche zwischen veganer und vegetarischer Ernährung.",unknown,"Es gibt keine Belege dafür, dass Veganismus Vor- oder Nachteile für die Gesundheit hat. Sowohl eine vegetarische wie auch eine vegane Ernährung scheinen das Krebsrisiko verglichen mit Mischkost geringfügig zu senken."
204,Kann die Einnahme von Chlorophyll Mund- oder Körpergeruch verändern?,"Es gibt keine aussagekräftigen Studien über Chlorophyll als Gegenmittel für Körpergeruch. Die angebliche Anti-Mief-Wirkung von Chlorophyll ist also bis heute nicht seriös erforscht. Es gibt auch bis heute keine schlüssige Erklärung, warum Chlorophyll Gerüche neutralisieren soll.",unknown,
205,Kann die Einnahme von Chlorophyll den Geruch von Urin bei Katheter-Trägerinnen und –Trägern oder Stuhl bei Personen mit künstlichem Darmausgang beeinflussen??,"Dem Pflegepersonal zufolge hatten alle Teilnehmerinnen und Teilnehmer unangenehm riechenden Urin. Kein erwünschter Geruch  In keiner Studie fiel das Geruchsurteil mit Chlorophyll-Tabletten besser aus als mit Placebo-Tabletten. Die geringe Anzahl der Teilnehmenden und Schwächen in der Durchführung der Studie schränken die Aussagekraft der Ergebnisse jedoch ein – demnach ist es unwahrscheinlich, dass Chlorophyll-Tabletten den Geruch von Urin und Stuhl bei Personen mit Harnkatheter oder künstlichem Darmausgang in gewünschter Weise beeinflussen.",no,
206,Ist bei Nutzung von Menstruationstassen bzw. Binden das Risiko für eine Bakterien- oder Pilz-Infektion vergleichbar?,"Die Analyse der solide gemachten Studie mit 766 Schulmädchen aus Westkenia im Alter von 14 bis 16 Jahren zeigte: Es gibt – wenn gewisse hygienische Standards wie Händewaschen und Sauberhalten der Tasse eingehalten werden – offenbar keine ernsten gesundheitlichen Nachteile durch Infektionen. Zu Scheideninfektionen durch Bakterien oder Pilze kam es während der Studie mit einer Menstruationstasse nicht häufiger als mit herkömmlichen Einweg-Binden oder auch behelfsmäßigen Stoffeinlagen. Es gibt allerdings keine Hinweise, dass dies mit Tasse häufiger vorkommt als mit Tampons oder Binden [1] . Tassen, Tampons und Binden dürften also in punkto Auslaufsicherheit eher gleichwertig sein.",yes,Unsere Aussage basiert auf einer soliden Einzelstudie. Noch mehr Klarheit können weitere zukünftige Studien bringen.
207,"Laborexperimente deuten darauf hin, dass Leoligin und andere Substanzen aus dem Edelweiß eine medizinische Wirkung haben. Beim Menschen ist das jedoch nicht erforscht.",Die Ergebnisse lassen sich jedoch nicht einfach auf den menschlichen Körper übertragen. Solche Studien konnten wir trotz intensiver Suche keine finden. Nicht nur die Wirksamkeit der Edelweiß-Inhaltsstoffe ist ungeklärt.,unknown,"Bisher ist nicht erforscht, ob Verbindungen aus dem Edelweiß beim Menschen wirksam und sicher sind."
208,Kann ein Geradehalter harmlose Verspannungen und Schmerzen in Nacken und Rücken verbessern?,"Nicht überprüft  Leider konnten wir trotz aufwändiger Suche keine Studien dazu finden. Ob Geradehalter die Haltung korrigieren und somit Schmerzen oder Verspannungen lindern können, ist daher unklar. Bei Nackenschmerzen, für die sich keine klare Ursache finden lässt, ist die Wirksamkeit von Bewegung weniger gut abgesichert.",unknown,"Bisher gibt es keine Studien zur Wirksamkeit von Geradehaltern, wenn die Schmerzen nicht durch ernsthafte Erkrankungen oder Verletzungen bedingt war."
209,Sind Ultraschall-Untersuchungen in der Schwangerschaft für die Gesundheit des Kindes unbedenklich?,"Das Ergebnis unserer Recherche war tendenziell beruhigend: Bisherige Studien deuten darauf hin, dass Ultraschall bei Routineuntersuchungen die Gesundheit des Ungeborenen nicht beeinträchtigen dürfte [1-3] . Auch für diese besondere Form des Ultraschall geben Studien keine Hinweise auf eine Schädlichkeit [1,4,5] .Die Studien im Detail   Um eventuelle negative Auswirkungen von Ultraschall-Untersuchungen zu untersuchen, sind randomisiert-kontrollierte Studien mit einer großen Anzahl an Teilnehmerinnen am besten geeignet. Die zusammengefassten Ergebnisse von 16 randomisiert-kontrollierten Studien mit rund 50.000 Schwangeren deuteten darauf hin, dass Ultraschall dem Ungeborenen nicht schadet. Eingeschränkte Aussagekraft  Alles in allem gehen wir auf Basis aller Ergebnisse davon aus, dass Ultraschalluntersuchungen kurz- oder längerfristig keine negativen Folgen haben dürften.",yes,"In bisherigen Studien haben Routine-Untersuchungen mit Ultraschall keine negativen Auswirkungen gezeigt. Es gab im Neugeborenenalter keine Unterschiede hinsichtlich Größe, Gewicht, Geburtskomplikationen oder Fehlbildungen. Später gab es zwischen häufiger bzw. seltener „geschallten“ Kindern keine Unterschiede hinsichtlich Entwicklung oder Fertigkeiten wie Lesen, Sprechen, Rechnen, Sehen oder Hören. Mängel in der Studiendurchführung schränken die Aussagekraft dieser Ergebnisse jedoch recht stark ein."
210,Kann Oregano-Öl Beschwerden oder Krankheiten lindern?,"Wir konnten nur eine Studie in unsere Auswertung aufnehmen; sie ist aber nicht aussagekräftig. Daher wissen wir nicht, ob Oregano-Öl irgendwelche Beschwerden und Erkrankungen beim Menschen lindern oder heilen kann. Die Frage nach der gesundheitlichen Wirkung von Oregano-Öl können wir daher weder verneinen noch bejahen. Reizend  Ob Oregano-Öl die Gesundheit fördert, ist also ungeklärt.",unknown,"Bisher gibt es keine aussagekräftigen Studien, in denen die gesundheitsfördernde Wirkung von Oregano-Öl untersucht wurde. Wir wissen beispielsweise nicht, ob es gegen Infektionen hilft."
211,"Sind Bachblüten-Mittel wirksam, um gegen Prüfungsangst zu helfen?","Besonders viele Studien haben wir nicht gefunden, aber die drei besten verfügbaren Arbeiten mit insgesamt 272 Teilnehmerinnen und Teilnehmern konnten wir in unsere Auswertung einbeziehen:   Zusammengefasst [ 1 ] deuten diese Arbeiten [ 2,3,4 ] darauf hin, dass Bachblüten nicht gegen Prüfungsangst helfen, zumindest nicht besser als ein Placebomittel. Demnach dürften Bachblüten nicht gegen Prüfungsangst helfen, zumindest nicht besser als ein Placebomittel. Demnach dürften Bachblüten nicht gegen Prüfungsangst helfen, zumindest nicht besser als ein Placebomittel. In allen drei Studien [ 2,3,4 ] gab es am Studienende hinsichtlich Prüfungsangst keine deutlichen Unterschiede zwischen der Bachblütengruppe und der Placebogruppe. Da zwei der drei Studien allerdings gröbere Mängel haben, ist das Übersichtsergebnis mit Unsicherheit behaftet.",no,"Drei kleinere Untersuchungen deuten darauf hin, dass Mittel mit Bachblüten gegen Prüfungsangst nicht besser helfen als ein Placebo."
212,Können Kapseln mit Diaminoxidase Beschwerden bei Histaminintoleranz lindern oder vorbeugen?,"Ob Kapseln mit Diaminoxidase bei Histaminintoleranz helfen können, ist daher weder belegt noch ausgeschlossen. Schwierige Diagnose  Unklar ist nicht nur, ob die Einnahme von Diaminoxidase wirksam ist.",unknown,Wir haben nur eine kleine Studie mit unzureichender Aussagekraft gefunden.
213,Hilft Magnesium bei Regelschmerzen?,"Ob die Einnahme von Magnesium Regelschmerzen lindern kann, lässt sich daher aus unserer Sicht weder seriös bejahen noch verneinen. Die Wirkung von Magnesium alleine wurde nicht untersucht. Ohne diese Information können wir nicht einschätzen, wie gut das Magnesium eventuell geholfen hat. Ohnehin sind die Ergebnisse nicht aussagekräftig.",unknown,"Bisher gibt es keine aussagekräftigen Studien, in denen das untersucht wurde."
214,"Verbessert Cannabis Beschwerden bei Parkinson, zum Beispiel Bewegungsstörungen?","Auch in der anderen Studie [2] konnte Cannabis verschiedene Parkinson-typische Bewegungsstörungen, etwa beim Gehen oder Aufstehen, nicht besser lindern als das Placebomittel. Ob Cannabis bei Parkinson von Nutzen ist, ist also bisher ungeklärt. Wie gut Menschen mit Parkinson Cannabis vertragen, lässt sich aufgrund der geringen Teilnehmerzahlen nicht sicher sagen. Daher müssen wir die Ergebnisse mit großer Vorsicht betrachten. Somit ist die Aussagekraft der Untersuchungen ziemlich eingeschränkt.",unknown,"Die Frage wurde nur in zwei kleinen Studien von unklarer methodischer Qualität untersucht. Während sie keine positiven Effekte auf unterschiedliche Bewegungsstörungen andeuten, gibt eine Studie Hinweise auf eine kleine Verbesserung der Lebensqualität."
215,Ist das Nahrungsergänzungsmittel Nattokinase als Blutverdünner wirksam und sicher?,"Leider hat unsere Recherche keine aussagekräftigen Studien mit Risikopersonen zutage gefördert, die Nattokinase längerfristig eingenommen haben. Wir können daher nicht sagen, ob Nattokinase bei Risikopersonen als Blutverdünner wirkt und das Auftreten von schweren Herz-Kreislauf-Erkrankungen (z. Die Studien im Detail   Wir konnte keine aussagekräftigen Studien finden, mit denen sich die Wirkung von Nattokinase auf die Blutverdünnung und der Schutzeffekt hinsichtlich Herz-Kreislauf-Erkrankungen einschätzen ließen.",unknown,"Wir konnten keine aussagekräftigen Studien zu dieser Fragestellung finden. Daher bleibt es unklar, ob Nattokinase als Blutverdünner wirkt und folglich schwere Herz-Kreislauf-Erkrankungen verhindert. Ebenso wissen wir nicht, ob die Einnahme des Enzyms sicher ist."
216,"Ist die Feldenkrais-Methode wirksam gegen Schmerzen und Verspannungen in Nacken, Schultern und Rücken?","Ob Feldenkrais eine wirksame Methode gegen Schmerzen ist, können wir daher zum jetzigen Zeitpunkt weder bestätigen noch ausschließen. Eine wissenschaftliche Bestätigung für die Wirksamkeit von Feldenkrais gibt es bisher nicht. Ob stärkende Bewegungsübungen bei Nackenschmerzen wirksam sind, ist nicht gut untersucht. Unsere Frage nach der Wirksamkeit der Feldenkrais-Methode konnten sie aufgrund der geringen Aussagekraft nicht beantworten. Aufgrund der Mängel und der geringen Anzahl an Testpersonen lässt sich daraus aber nicht schließen, dass die Kombination aus Feldenkrais und Virtual-Reality-Programm ähnlich gut wirkt wie Bewegungsübungen.",unknown,"Bisher durchgeführte Studien sind zu wenig vertrauenswürdig, um diese Frage beantworten zu können."
217,Hilft ein Basenbad bei Neurodermitis?,"Doch trotz umfangreicher Recherche in mehreren Forschungsdatenbanken konnten wir keine einzige aussagekräftige Studie dazu finden. Ob ein Basenbad bei Neurodermitis helfen kann, scheint nie untersucht worden zu sein. Somit konnten wir keinen Hinweis finden, dass basische Kosmetika Beschwerden bei Neurodermitis lindern. Allerdings gibt es keine aussagekräftigen Untersuchungen, die die Wirkung von Pflegeprodukten mit niedrigem und hohem pH-Wert verglichen haben [1].",unknown,Bisher gibt es keine aussagekräftige Forschung dazu.
218,"Hilft Birkenwasser, auch Birkensaft genannt, bei gesundheitlichen Problemen?","Jedoch ohne Erfolg: Wir konnten keine einzige Studie finden, bei der gesundheitliche Effekte von Birkenwasser Thema waren. Die Experimente geben aber keinen konkreten Hinweis auf den angeblich entzündungshemmenden Effekt von Birkenwasser. Keine Untersuchungen am Menschen Doch selbst wenn eine Wirksamkeit an Versuchstieren oder bei Zellen im Reagenzglas nachgewiesen werden hätte können, wäre das noch lange kein Beweis dafür, dass auch der Mensch von Birkenwasser profitiert. Doch weil hochwertige Studien fehlen, lässt sich nicht sagen, ob Birkenwasser für manche Menschen schädlich sein könnte. Die Studien im Detail  Es gibt keine Studien, die die Auswirkung von Birkenwasser auf die Gesundheit des Menschen untersucht haben.",unknown,"Bisher gibt es keine Studien, die diese Frage untersucht haben. Daher fehlen Belege für die Wirksamkeit von Birkenwasser. Auch die Nebenwirkungen sind nicht erforscht."
219,Ist Oolong-Tee ein wirksames Mittel zum Abnehmen?,Wir konnten jedoch keine aussagekräftigen Studien zu dieser Fragestellung finden. So konnten wir jedoch keine Aussagen über eine gesundheitsförderliche Gewichtsreduktion bei übergewichtigen Personen treffen. Die Studien im Detail   Wir haben keine aussagekräftigen Studien gefunden.,unknown,"Wir haben keine Studien zum Thema gefunden. Daher können wir nicht beurteilen, ob handelsüblicher Oolong-Tee übergewichtigen Menschen dabei hilft, ihr Gewicht zu reduzieren."
220,"Senken Waveex und ähnliche Produkte die Belastung durch elektromagnetische Felder, zum Beispiel beim Telefonieren mit Handy oder Smartphone?","Waveex: Die Nachweise fehlen  Bei einer umfangreichen Recherche in zwei großen Datenbanken für medizinische Publikationen fanden wir keine einzige Studie zu Aufklebern wie Waveex oder anderen, gleichartigen Produkten. Die Art, wie die Daten ausgewertet wurden, kann allerdings nicht beantworten, ob der Aufkleber die behauptete Wirkung hat: Ob sich die Pulsfrequenz zwischen Telefonat mit und ohne Waveex-Aufkleber unterscheiden, hat das Forschungsteam nämlich gar nicht untersucht. Für keines davon existieren wissenschaftlich haltbaren Belege für eine Wirkung auf die Gesundheit. Dass dadurch die Gesundheit der Versuchspersonen beeinträchtigt wird, kann die Studie jedoch nicht zeigen. Strahlung reduzieren ohne Aufkleber  Es gibt einige Maßnahmen, die einfach und wissenschaftlich nachweisbar die Strahlenbelastung beim Telefonieren reduzieren – ganz ohne Gabriel-Chip und Waveex-Aufkleber [2]  [6] .",unknown,"Das angebliche Wirkprinzip von Waveex und anderen vergleichbaren Produkten ist wissenschaftlich nicht plausibel. Wir fanden auch keine aussagekräftige Studie, die Aufschluss über eine mögliche Wirkung der Handyaufkleber geben könnte."
221,Können Inhaltsstoffe in Deodorants wie Aluminiumsalze Brustkrebs auslösen?,"Im Zuge unserer umfangreichen Literatursuche in medizinische Datenbanken konnten wir jedenfalls keine methodisch wertvollen aussagekräftigen Studien finden, die einen definitiven Zusammenhang zwischen der Verwendung von Deos und Brustkrebs belegen. Allerdings existieren zurzeit keine Studien oder sonstigen Hinweise, die auf eine Gefährdung durch Parabene oder auf einen Zusammenhang mit der Entstehung von Brustkrebs schließen lassen. Dass in Krebsproben höhere Aluminium-Konzentrationen gefunden wurden, beweist also noch nicht, dass das Aluminium zur Entstehung der Krebserkrankung beigetragen hat. Selbst wenn die Deos tatsächlich Mitverursacher der Brustkrebs-Erkrankungen sind, kann auf Basis dieser Untersuchung gar nicht beurteilt werden, welche Deo-Inhaltsstoffe dazu geführt haben sollen. Aus diesem Grund beweisen die Ergebnisse dieser Studie unserer Einschätzung nach weder, dass Deos Brustkrebs auslösen, noch dass sie das nicht tun.",unknown,"Ob die langfristige Anwendung von Deos zu Brustkrebs führen kann, ist nicht ausreichend erforscht. Es fehlen nach strengen Kriterien durchgeführte Studien mit Menschen über einen längeren Zeitraum."
222,"Verbessert die Einnahme von Schwarzkümmel die Beschwerden bei Asthma, z.B. Kurzatmigkeit?","Wenig überzeugend Wie wir feststellen mussten, ist die Datenlage zu Schwarzkümmel bei Asthma aber sehr dünn: Wir haben nur vier kleinere Studien [1-4] gefunden. Allerdings zeigte sich insgesamt kein überzeugender Effekt von Schwarzkümmel auf das Asthma: Drei Studien [1-3] berichten in den Publikationen von einem positiven Ergebnis, eine Studie [4] fand keinen Effekt. In den beiden Studien, die uns methodisch noch am verlässlichsten erscheinen [2,3] , sind die gemessenen Verbesserungen so klein, dass sie für Menschen mit Asthma vermutlich nicht spürbar sind. In der anderen Untersuchung [3] lässt sich nicht genau zuordnen, ob die drei beschriebenen Ereignisse (Magenbeschwerden, Kopfschmerzen, Schlafstörungen) mit Schwarzkümmel oder dem Scheinmedikament aufgetreten sind. Aussagen über die Effekte bei längerer Einnahme von Schwarzkümmel lassen sich damit nicht treffen.",unknown,Die Frage wurde in vier kleinen Studien untersucht. Sie haben teilweise schwere methodische Mängel und kommen zu widersprüchlichen Ergebnissen.
223,Warnen speziell trainierte Hunde verlässlich vor einer gefährlichen Unterzuckerung?,"wie häufig die Diabetikerwarnhunde übehaupt richtig liegen – aber diese Untersuchungen sind sehr klein und sie haben auch noch andere methodische Einschränkungen wie etwa den fehlenden Vergleich mit den bereits etablierten und besten verfügbaren Methoden. Daher können wir aus diesen Veröffentlichungen viele entscheidende Fakten nicht ableiten: Zum Beispiel, wie oft Diabetikerwarnhunde unter realen Alltagsbedingungen einen „Hypo“ richtig erkennen oder verpassen, ab welchen Werten sie reagieren oder wann sie Fehlalarm schlagen. Die Studien im Detail  Wir haben keine Studien gefunden, auf deren Basis sich solide Aussagen dazu treffen lassen, wie verlässlich Diabetikerwarnhunde im Vergleich mit etablierten Methoden bei einer Unterzuckerung warnen, ab welchem Blutzucker-Tief sie anschlagen und wie viele Notfälle sich verhindern lassen.",unknown,"Es gibt einige positive Berichte und Pilotstudien. Es fehlen jedoch größere, gut gemachte Studien. Es ist daher nicht belegt, ob bzw. welche Hunde bedrohlich niedrige Blutzuckerwerte verlässlich erkennen und melden. Ebenfalls unklar: wie oft geben Diabetikerwarnhunde falschen Alarm?"
224,Erhöht die Einnahme von Protonenpumpenhemmern (PPI) das Risiko für Knochenbrüche?,"Ihnen zufolge kann mit zunehmender Behandlungsdauer und bei höheren Dosierungen das Risiko für Knochenbrüche leicht zunehmen. Allerdings lässt es sich nicht genau sagen, wie viele Knochenbrüche tatsächlich auf das Konto der PPI gehen.",yes,"Die Fragestellung ist in vielen Beobachtungsstudien mit insgesamt rund 800.000 Personen untersucht worden. Darin zeigen sich Hinweise, dass bei längerer Einnahme von Protonenpumpenhemmern möglicherweise mehr Knochenbrüche auftreten. Wie groß das Risiko der PPI ist, lässt sich jedoch nicht exakt beziffern. Vermutlich steigt die Wahrscheinlichkeit für Knochenbrüche mit längerer Einnahme und höherer Dosierung."
225,Kann die Matrix-Therapie (auch: Matrix-Rhythmus-Therapie) Beschwerden von Muskeln und Gelenken lindern?,"Wir wissen also nicht, ob die Matrix-Therapie Menschen mit chronischen Kreuzschmerzen [1] , schmerzhafter Schultersteife („Frozen Shoulder“) [2] oder Schmerzen im oberen Rücken- oder Nackenbereich [3] helfen kann. Keine Belege gibt es allerdings für die Behauptungen, die auf den Webseiten zweier Matrix-Therapie-Anbieter zu lesen sind: Demzufolge schwingen alle Körperzellen in einem bestimmten Rhythmus. Weder unmittelbar nach Behandlungsende noch nach 24 Wochen zeigte sich ein Vorteil für die Matrix-Therapie. Somit ist unklar, ob die Matrix-Therapie eine Besserung der Beschwerden bewirken kann, die nicht auch ohne Matrix-Therapie eingetreten wäre.",unknown,"Bisher durchgeführte Studien sind zu mangelhaft, um diese Frage beantworten zu können."
226,Kann eine Hyposensibilisierung durch Spritzen mit allergieauslösenden Pollen-Bestandteilen bei Heuschnupfen helfen?,"Mäßige Besserung Tatsächlich zeigen die zusammengefassten Ergebnisse bisheriger Studien, dass eine bis zu zwei Jahre dauernde Hyposensibilisierung mit Spritzen Heuschnupfen-Beschwerden prinzipiell lindern kann. Prinzipiell deuten die Ergebnisse daraufhin, dass mithilfe einer Spritzenkur die Beschwerden während der Zeit der Hyposensibilisierung geringer werden. Bei jenen, die tatsächlich eine „echte“ Spritze erhalten hatten, besserten sich die Allergie-Symptome deutlich.",yes,"Bei Heuschnupfen kann eine Hyposensibilisierung mit Spritzen die Beschwerden wahrscheinlich etwas lindern. Allerdings ist noch zu wenig erforscht, wie lange dieser Effekt anhält."
227,"Kann eine Hyposensibilisierung mittels Tropfen oder Tabletten, die unter die Zunge verabreicht werden, bei Heuschnupfen helfen?","Moderate Linderung ohne Erfolgsgarantie Die zusammengefassten Ergebnisse bisheriger Studien zeigen, dass eine Hyposensibilisierung mittels unter der Zunge eingenommener Pollenextrakte die Beschwerden wahrscheinlich etwas lindert [1] .",yes,"Wahrscheinlich hilft diese Form der Hyposensibilisierung, Heuschnupfen-Beschwerden etwas zu lindern, der Effekt dürfte jedoch nicht groß sein."
228,Helfen Blushwood-Beeren gegen Hautkrebs?,Keine veröffentlichten Daten zu Hautkrebs-Studie So vielversprechend diese Ergebnisse auch scheinen: Aus Zell- und Tierversuchen allein lassen sich keine verlässlichen Schlussfolgerungen für die Wirksamkeit am Menschen ableiten. Die Ergebnisse der Studie sind bisher jedoch noch nicht wissenschaftlich publiziert.,unknown,"Ein Wirkstoff (EBC-46, Tigilanoltiglat), der aus Blushwood-Beeren isoliert wurde, wird derzeit untersucht. Ergebnisse einer ersten Studie mit Menschen, die Krebs haben, sind noch nicht veröffentlicht. Untersuchungen zu einer Anti-Krebs-Wirkung von anderen Extrakten aus den Beeren, die eingenommen werden, haben wir nicht identifizieren können."
229,Können Entspannungsübungen und ein Abbau von Stress das Fortschreiten eines Glaukoms bremsen?,"Aussagekräftige Forschungsergebnisse fanden wir darin keine. Durch die schlechte Studienqualität lässt sich eine Wirkung aber weder ausschließen noch belegen. Ob Entspannungsübungen Glaukom-Betroffenen helfen können, lässt sich daher weder bestätigen noch ausschließen. Die wichtigste Frage hat zudem gar keine Studie untersucht: nämlich, ob Entspannungsübungen das Fortschreiten des Glaukoms bremsen. Aufgrund mehrerer Mängel ist allerdings auch dieses Ergebnis nicht aussagekräftig.",unknown,"Bisherige Studien sind zu mangelhaft, um diese Frage beantworten zu können."
230,Lässt sich Demenz durch jahrelangen Konsum von Orangensaft vorbeugen?,"Daher ist nicht ganz klar ist, ob es sich bei dem positiv anmutenden Ergebnis eventuell nur um einen Zufallsbefund handelt. In dieser Untersuchung konnte ein Nutzen von Orangen und Orangensaft nicht eindeutig nachgewiesen werden. Ob der regelmäßige Genuss von Orangensaft tatsächlich eine Demenz verhindern kann, bleibt nach dem derzeitigen Stand der Wissenschaft deshalb unklar.",unknown,"Der schützende Einfluss von Orangensaft auf die geistige Leistungsfähigkeit wurde in zwei großen Studien über mehrere Jahre untersucht. Allerdings sind Veränderungen der geistigen Leistungsfähigkeit nicht dasselbe wie eine Demenz-Diagnose. Hinzu kommt: Die Studien kamen zu unterschiedlichen Ergebnissen, und Zufallsbefunde sind nicht auszuschließen. Deshalb lässt sich die Frage nicht beantworten."
231,Können Mittel aus der Papaya die Verdauung verbessern oder Magen-Darm-Beschwerden lindern?,"Studien ohne Aussagekraft Dazu durchforsteten wir medizinische Datenbanken nach Studien mit Personen, die an Verdauungsproblemen oder Magen-Darm-Beschwerden litten und versuchsweise mit Papayas bzw. Viele Angaben fehlen Diese Schlussfolgerung können wir nicht nachvollziehen, weil uns dazu wichtige Informationen fehlen. Studien zu anderen Papaya-Produkten oder zu Papaya-Früchten ohne weitere Verarbeitung konnten wir nicht finden. Insgesamt ist die Auswertung lückenhaft und nicht nachvollziehbar. Sie ist für uns keine Basis für Rückschlüsse zur Frage, ob Papayas bzw.",unknown,"Bisherige Studien sind zu mangelhaft, um diese Frage aussagekräftig beantworten zu können."
232,Sind Kinesiotapes wirksam gegen chronische unspezifische Schmerzen im unteren Rücken („Kreuzschmerzen“)?,"Keine Verbesserung, viel Unsicherheit Es sieht leider eher nicht danach aus. Sie kommt zu dem Schluss, dass Kinesiotaping möglicherweise nicht die erhoffte schmerzlindernde Wirkung auf den unteren Rückenbereich hat. Bei zwei Studien [4-6] zeigte sich gar keine Verbesserung, die deutlich über die Placebowirkung hinausging. Insgesamt deutet sich also an, dass Kinesiotaping eher keine Schmerzlinderung bei chronischen Kreuzschmerzen bewirkt.",no,"Die Wirksamkeit von Kinesiotaping in Bezug auf unspezifische chronische Schmerzen im unteren Rücken („Kreuzschmerzen“) wurde nur in wenigen Studien untersucht. Insgesamt deutet sich an, dass die Schmerzintensität mit Kinesiotapes nicht mehr nachlässt als mit einem Placebo-Tape; die Tapes sind also möglicherweise nicht wirksam. Diese vorläufige Erkenntnis ist allerdings nicht gut untermauert. Denn die besten derzeit vorliegenden Studien sind nicht gut miteinander vergleichbar, dauerten meist nur vier Wochen und hatten insgesamt nur wenige Testpersonen."
233,Verschafft die Früherkennung von Lungenkrebs durch trainierte Spürhunde den Betroffenen deutliche Vorteile?,"Umfassende Praxistests fehlen Wie verlässlich dieses Erkennen allerdings in größerem Maßstab in der Praxis – zum Beispiel in einer Lungenambulanz oder einem speziellen Testbetrieb – funktioniert, können diese Studien nicht beantworten. Es fehlt in den von uns ausgewerteten Studien auch der direkte Vergleich von Spürhunden mit anderen Methoden zur Früherkennung, insbesondere der niedrig dosierten Computer-Tomografie (CT).",unknown,"Experimente weisen darauf hin, dass manche Hunde Lungenkrebs anhand von menschlichen Atemproben erkennen können. Doch wir können nicht sagen, ob Reihenuntersuchungen zwecks Früherkennung („Screening“) mit speziell trainierten Hunden den Betroffenen spürbare Vorteile verschafft, z. B. Todesfälle verhindert oder eine schonendere Behandlung ermöglicht."
